문장번호,문장내용,형태소(품사),형태소(단어만)
1,"太　平　天　下[태평천하]
 1.","[('太\u3000平\u3000天\u3000下', 'Foreign'), ('[', 'Punctuation'), ('태평천하', 'Noun'), (']', 'Punctuation'), ('\n ', 'Foreign'), ('1', 'Number'), ('.', 'Punctuation')]",['태평천하']
2,尹直員[윤직원] 영감 歸宅之圖[ 귀택 지도] 추석을 지나 이윽고 짙어가는 가을해가 저물기 쉬운 어느날 석양.,"[('尹直員', 'Foreign'), ('[', 'Punctuation'), ('윤직', 'Noun'), ('원', 'Suffix'), (']', 'Punctuation'), ('영감', 'Noun'), ('歸宅之圖', 'Foreign'), ('[', 'Punctuation'), ('귀택', 'Noun'), ('지도', 'Noun'), (']', 'Punctuation'), ('추석', 'Noun'), ('을', 'Josa'), ('지나', 'Noun'), ('이윽고', 'Noun'), ('짙다', 'Adjective'), ('가을', 'Noun'), ('하다', 'Verb'), ('저', 'Determiner'), ('물기', 'Noun'), ('쉽다', 'Adjective'), ('어느', 'Modifier'), ('날', 'Noun'), ('석양', 'Noun'), ('.', 'Punctuation')]","['윤직', '영감', '귀택', '지도', '추석', '지나', '이윽고', '짙다', '가을', '하다', '물기', '쉽다', '날', '석양']"
3,저 계동(桂洞)의 이름난 장자(富者[부자]) 윤직원(尹直員) 영감이 마침 어디 출입을 했다가 방금 인력거를 처억 잡숫고 돌아와 마악 댁의 대문 앞에서 내리는 참입니다.,"[('저', 'Noun'), ('계동', 'Noun'), ('(', 'Punctuation'), ('桂洞', 'Foreign'), (')', 'Punctuation'), ('의', 'Noun'), ('이름나다', 'Adjective'), ('장자', 'Noun'), ('(', 'Punctuation'), ('富者', 'Foreign'), ('[', 'Punctuation'), ('부자', 'Noun'), ('])', 'Punctuation'), ('윤직', 'Noun'), ('원', 'Suffix'), ('(', 'Punctuation'), ('尹直員', 'Foreign'), (')', 'Punctuation'), ('영감', 'Noun'), ('이', 'Josa'), ('마침', 'Noun'), ('어디', 'Noun'), ('출입', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('방금', 'Noun'), ('인력거', 'Noun'), ('를', 'Josa'), ('처', 'Noun'), ('억', 'Suffix'), ('잡숫다', 'Verb'), ('돌아오다', 'Verb'), ('마악', 'Noun'), ('댁', 'Noun'), ('의', 'Josa'), ('대문', 'Noun'), ('앞', 'Noun'), ('에서', 'Josa'), ('내리다', 'Verb'), ('차다', 'Verb'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['저', '계동', '의', '이름나다', '장자', '부자', '윤직', '영감', '마침', '어디', '출입', '하다', '방금', '인력거', '처', '잡숫다', '돌아오다', '마악', '댁', '대문', '앞', '내리다', '차다', '이다']"
4,간밤에 꿈을 잘못 꾸었던지,"[('간밤', 'Noun'), ('에', 'Josa'), ('꿈', 'Noun'), ('을', 'Josa'), ('잘못', 'Noun'), ('꾸다', 'Verb')]","['간밤', '꿈', '잘못', '꾸다']"
5,오늘 아침에 마누라하고 다툼질을 하고 나왔던지,"[('오늘', 'Noun'), ('아침', 'Noun'), ('에', 'Josa'), ('마누라', 'Noun'), ('하고', 'Josa'), ('다툼', 'Noun'), ('질', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('나오다', 'Verb')]","['오늘', '아침', '마누라', '다툼', '질', '하다', '나오다']"
6,아뭏든 엔간히 일수 좋지 못한 인력거꾼입니다.,"[('아뭏', 'Noun'), ('든', 'Josa'), ('엔간하다', 'Adjective'), ('일수', 'Noun'), ('좋다', 'Adjective'), ('못', 'Noun'), ('한', 'Josa'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['아뭏', '엔간하다', '일수', '좋다', '못', '인력거', '이다']"
7,여느 평탄한 길로 끌고오기도 무던히 힘이 들었는데 골목쟁이로 들어서서는 빗밋이 경사가 진 20여 칸을 끌어올리기야,"[('여느', 'Noun'), ('평탄하다', 'Adjective'), ('길', 'Noun'), ('로', 'Josa'), ('끄다', 'Verb'), ('기도', 'Noun'), ('무덥다', 'Adjective'), ('힘', 'Noun'), ('이', 'Josa'), ('들다', 'Verb'), ('골목쟁이', 'Noun'), ('로', 'Josa'), ('들어서다', 'Verb'), ('빗밋', 'Noun'), ('이', 'Josa'), ('경사', 'Noun'), ('가', 'Josa'), ('진', 'Noun'), ('20', 'Number'), ('여', 'Noun'), ('칸', 'Noun'), ('을', 'Josa'), ('끌다', 'Verb'), ('올', 'Modifier'), ('리기', 'Noun'), ('야', 'Josa')]","['여느', '평탄하다', '길', '끄다', '기도', '무덥다', '힘', '들다', '골목쟁이', '들어서다', '빗밋', '경사', '진', '여', '칸', '끌다', '리기']"
8,엄살이 아니라 정말 혀가 나올 뻔했읍니다.,"[('엄살', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective'), ('정말', 'Noun'), ('혀', 'Noun'), ('가', 'Josa'), ('나오다', 'Verb'), ('뻔하다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['엄살', '아니다', '정말', '혀', '나오다', '뻔하다', '읍니']"
9,28관,"[('28', 'Number'), ('관', 'Noun')]",['관']
10,"하고도 6백 몸메!……
 윤직원 영감의 이 체중은","[('하고도', 'Josa'), ('6', 'Number'), ('백', 'Noun'), ('몸메', 'Noun'), ('!……', 'Punctuation'), ('\n ', 'Foreign'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('이', 'Noun'), ('체중', 'Noun'), ('은', 'Josa')]","['백', '몸메', '윤직', '영감', '이', '체중']"
